번호,상품명,구성물, 제조사 ,사용연령,설명,영역,관리기관전화번호,데이터기준일자
365,뛰뛰빵빵 코리의 모험 홈스테이 플레이세트,"본체, 코리미니카, 크리시미니카, 엄마미니카, 쇼파, 카페트",브이텍,12개월이상,"코리와 크리시 그리고 엄마와 코리의 2층 집으로 구성된 플레이세트입니다. 피규어 미니카와 플레이 세트로 신나고 재미있는 역할놀이를 즐겨보세요. 노란색 지붕의 코리의 하우스입니다. 코리와 크리시, 엄마와 함께 코리의 집에서 즐거운 하루를 보내봐요.",자동차(모형),063-432-3400,2022-12-02
366,퍼스트 오븐,"본체, 오븐팬, 후라이팬, 뒤집개, 디쉬타올, 베이컨, 스테이크, 계란후라이, 초코칩쿠키 4개",리틀타익스,3세이상,오븐의 도어를 열면 오븐 표시등이 켜지고 선반을 분리할 수 있어요. 지글지글 맛있는 베이컨요리와 스테이크를 구워보세요. 스토브 레버를 돌리면 보글보글 물 끓는 소리와 지글지글 맛있게 익어가는 소리가 나와요.,역할(소꿉),063-432-3400,2022-12-02
367,어린이 장난감 7종 세트,리빙홈 7종,키즈토이,3세이상,"아이들이 일상에서 위험해서 경험하지 못하는 가전을 체험시켜 주세요. 청소기, 믹서기, 다리미, 드럼세탁기, 전자렌지, 커피메이커, 반죽기 총7종 세트로 구성되어 있습니다.",역할(소꿉),063-432-3400,2022-12-02
368,러닝 푸드 트럭,본체 외 23종,피셔프라이스,18개월이상,"푸드트럭에는 아기들이 재미있게 상호작용하며 놀이할 수 잇는 대화형 놀이들이 가득 합니다. 스마트 스테이지가 있어 각 스테이지마다 다양하고 재미있는 사운드가 나옵니다. 아이가 푸드트럭의 다양한 문장, 노래들을 하면서 일상 속 단어들을 함께 배울 수 있습니다.",역할(소꿉),063-432-3400,2022-12-02
369,소프트스카이키친종합세트,총 35종,소프트스카이,3세이상,"기존에 나와있는 말랑 소꿉놀이 제품보다 높은 퀄리티의 품질과 다양한 종류, 아름다운 색상으로 만들어져 아이들에게 더욱 좋습니다.",역할(소꿉),063-432-3400,2022-12-02
370,엉뚱발랄 콩순이 알록달록 카페놀이,"본체, 컵 2개, 캡슐 4개",영실업,3세이상,"아이들에게 직관적이고 쉬운 방벙으로 다양한 색상의 음료를 체험할 수 있도록 해주며, 단순히 소꿉놀이가 아니, 여러 색상의 음료에 대한 학습을 경험 할 수 있습니다.",역할(소꿉),063-432-3400,2022-12-02
371,럭키펀치,"럭키펀치 1개, 무기 2개",손오공,3세이상,"한대의 자동차가 두대의 로봇으로 변하고, 두대의 로봇이 합체하여 더 큰 로봇이 됩니다. ",로봇완구,063-432-3400,2022-12-02
372,터닝메카드W - 네오 레드,"네오 1대, 카드 6장",손오공,6세이상,트레일러 자동차가 점보 메카니멀로 순간변신! 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
373,터닝메카드W - 카울 블루,"카울 1대, 카드 3장",손오공,6세이상,예리한 저격수 카울 자동차에서 부엉이로 변신!팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
374,터닝메카드W - 게리온 블랙,"게리온 1대, 카드 3장",손오공,6세이상,세개의 머리 게리온! 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
375,터닝메카드W - 엑스 바이올렛,"엑스 1대, 카드 6장",손오공,6세이상,트레일러 자동차가 점보 메카니멀로 순간변신! 장난스런 악동 엑스입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
376,터닝메카드W - 바벨 그레이,"바벨 1대, 카드 3장",손오공,6세이상,자동차에서 토템로봇으로 변신! 파괴의 화신 바벨입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
377,터닝메카드W - 에반 블루 ,"에반 1개, 카드 3장",손오공,6세이상,자동차에서 영웅로봇으로 변신! 메카니멀의 영웅 에반입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
378,터닝메카드W - 요타 블루,"요타 1대, 카드 6장",손오공,6세이상,자동차에서 점보 그리핀으로 변신! 날카로운 공격 요타입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
379,터닝메카드W - 스핑크스 토킹카,본체,손오공,6세이상,터닝카가 진짜처럼 말을 하고 불빛을 번쩍이며 차체를 들썩인다! 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
380,터닝메카드W - 그리폰 토킹카,본체,손오공,6세이상,터닝카가 진짜처럼 말을 하고 불빛을 번쩍이며 차체를 들썩인다! 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
381,터닝메카드W - 데스퍼 블랙,"데스퍼 1대, 카드 3장",손오공,6세이상,자동차에서 드레이크으로 변신! 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
382,터닝메카드 - 안드로매지션 바이올렛,"안드로메지션 1대, 카드 2장",손오공,6세이상,자동차에서 마법로봇으로 변신! 신비한 주술사 안드로매지션입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
383,메가테릭스 - 터닝메카드,본체,손오공,6세이상,터닝카가 메가테릭스를 통과하면 로봇모드로 순간변신합니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
384,터닝메카드 - 타나토스 퍼플 ,"타나토스 1개, 카드 3장",손오공,6세이상,자동차에서 해골로봇으로 변신! 죽음의 파괴자 타나토스입니다.팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
385,터닝메카드 - 독꼬리 화이트,"독꼬리 1개, 카드 3장",손오공,6세이상,자동차에서 스콜피온으로 변신! 예리한 독침 독꼬리입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
386,터닝메카드 - 우르스 브라운,"우르스 1개, 카드 3장",손오공,6세이상,자동차에서 곰으로 변신! 고독한 전사 우르스입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
387,터닝메카드 - 크랑 화이트,"크랑 1개, 카드 3장",손오공,6세이상,자동차에서 호랑이로 변신! 얼음 송곳니 크랑입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
388,메가스파이더 - 터닝메카드,본체,손오공,6세이상,메가스파이더의 24관절로 이루어진 8개의 다리가 펼쳐지며 강력한 거미로봇모드로 변신합니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
389,터닝메카드 - 만타리 퍼플 ,"만타리 1개, 카드 3장",손오공,6세이상,자동차에서 거미로 변신! 고요한 습격자 만타리입니다.팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
390,터닝메카드 - 미리내 블루,"미리내 1개, 카드 3장",손오공,6세이상,자동차에서 폐가수스로 변신! 하늘의 지배자 미리내입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
391,터닝메카드 - 피닉스 골드스페셜 ,"피닉스 1개, 카드 3장",손오공,6세이상,골드스페셜 ver. 영생불사의 새 피닉스입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
392,터닝메카드 - 센뿔 그레이,"쎈뿔 1개, 카드 3장",손오공,6세이상,자동차에서 버팔로로 변신! 거침없는 돌격 센뿔입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
393,터닝메카드 - 파이온 오렌지,"파이온 1개, 카드 3장",손오공,6세이상,자동차에서 사자로 변신! 용맹한 맹수 파이온입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
394,터닝메카드 - 메가 옐로우,"메가 1개, 카드 3장",손오공,6세이상,자동차에서 잠자리로 변신! 메카니멀의 신선 메가입니다.팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
395,터닝메카드 - 베노사 블랙,"베노사 1개, 카드 3장",손오공,6세이상,자동차에서 코브라로 변신! 독사의 왕 베노사입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
396,터닝메카드 - 옥타 블루,"옥타 1개, 카드 3장",손오공,6세이상,자동차에서 문어로 변신! 흐물흐물 재간꾼 옥타입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
397,터닝메카드 - 슈마 그린,"슈마 1개, 카드 3장",손오공,6세이상,자동차에서 F1로봇으로 변신! 스피드의 황제 슈마입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
398,터닝메카드 - 테로 그린 ,"테로1개, 카드 3장",손오공,6세이상,자동차에서 드래곤으로 변신! 위대한 드래곤 테로입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
399,터닝메카드 - 프린스콩 브라운,"프린스콩 1개, 카드 3장",손오공,6세이상,자동차에서 고릴라로 변신! 숲속의 왕자 프린스콩입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
400,터닝메카드 - 타돌 그린,"타돌 1개, 카드 3장",손오공,6세이상,자동차에서 거북이로 변신! 최강 등껍질 타돌입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
401,터닝메카드 - 모스톤 화이트 ,"모스톤 1개, 카드 3장",손오공,6세이상,자동차에서 맘모스로 변신! 무적의 상아뿔 모스톤입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
402,터닝메카드 - 알타 블루 ,"알타 1개, 카드 3장",손오공,6세이상,자동차에서 독수리로 변신! 날쌘돌이 사냥꾼 알타입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
403,터닝메카드 - 크로키 골드스페셜,"크로키 1개, 카드 3장",손오공,6세이상,골드스페셜 ver. 공포의 톱니 크로키입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
404,터닝메카드 - 타이탄 브라운,"타이탄 1개, 카드 3장",손오공,6세이상,자동차에서 골렘으로 변신! 대지의 수호자 타이탄입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
405,터닝메카드 - 나백작 블랙 ,"나백작 1개, 카드 3장",손오공,6세이상,자동차에서 드라큘라로 변신! 어둠의 신사 나백작입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
406,터닝메카드 - 윙톡 블랙 ,"윙톡 1개, 카드 3장",손오공,6세이상,자동차에서 벌로 변신! 윙윙 날아 톡톡 쏘는 윙톡입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
407,터닝메카드 - 무간 골드스페셜,"무간 1개, 카드 3장",손오공,6세이상,골드스페셜 ver. 지옥의 목소리 무간입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
408,터닝메카드 - 캉시 오렌지 ,"캉시 1개, 카드 3장",손오공,6세이상,자동차에서 강시로 변신! 관 속에서 콩콩 캉시입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
409,터닝메카드 - 킹죠스 블루,"킹죠스 1개, 카드 3장",손오공,6세이상,자동차에서 상어로 변신! 바다의 무법자 킹조스입니다. 팝업된 메카니멀의 속성과 카드의 해당 속성 파위를 읽어 파워업 배틀! 카드를 향해 터닝카를 슈팅하면 카드를 잡고 순간변신을 합니다. 속성에 따라 점수를 확인하세요.,자동차(모형),063-432-3400,2022-12-02
410,터닝메카드 아라게,"아라게, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
411,터닝메카드 고브,"고브, 카드 3장, 불덩어리 1개",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
412,터닝메카드 버키,"버키, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
413,터닝메카드 마루,"마루, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
414,터닝메카드 치르매미,"치르매미, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
415,터닝메카드 뎅뎅,"뎅뎅, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
416,터닝메카드 크라켄,"크라켄, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
417,터닝메카드 주니어 테로,본체,손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
418,터닝메카드 주니어 피닉스,본체,손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
419,터닝메카드 제트 옐로우,"제트옐로우, 카드 3장, 제트기",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
420,터닝메카드 크루기,"크루기, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
421,터닝메카드 아머피트,"아머피트, 카드 3장, 장갑차",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
422,터닝메카드 피코,"피코, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
423,터닝메카드 미리내 핑크,"미리내, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
424,터닝메카드 데스퍼,"데스퍼, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
425,터닝메카드 하이테로,"하이테로, 카드 6장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
426,터닝메카드 메카드R레이더,"메카드R레이더, 카드 3장",손오공,6세이상,메카드 배틀에서 사용하는 카드는 '메카드'라고 부른다. 자신의 유닛을 이용해 최대의 파워를 끌어낼수 있는 메카드를 찾아내는 것이 승리의 지름길!,자동차(모형),063-432-3400,2022-12-02
427,레고 시티 기차역 60050,423pcs,레고,만5세부터 12세,"번잡한 레고 시티기차역에서 기다리는동안 상점들을 둘러 보아요. 택시에 내려 계단을  문을 열고 들어가보고, 커다란 시계를 보고 시간을 확인한 다음 노선도를 살펴보세요. 플랫폼에 자리를 잡고 간식을 즐기며 잠시 휴식을 취해 보세요. 미니피겨 차장, 주방장, 태기기사, 승객2명이 들어 있습니다.",블록,063-432-3400,2022-12-02
428,레고 기차 레일 포인트 7895,"오른쪽 방향전환 트랙 1개, 왼쪽 방향전환트랙 1개, 곡선선로 4개",레고,만5세부터 12세,방향전환 트랙으로 더 크고 흥미 진진한 기차 선로를 조립 할수 있습니다.  기차 레일을 더 길게 연결 할 수 있는 여벌 포인트가 들어있습니다.,블록,063-432-3400,2022-12-02
429,레고 10654 XL 크리에이티브 박스,1600pcs,레고,만4세이상,"마음껏 상상의 나래를 펼치고, 멋진 건물과 캐릭터를 디자인하고, 꿈에 그리던 모든 것을 실제로 조립할 수 있고, 밝고 재미난 색상으로 구성된 1,550개 이상의 부품을 이용해 마음이 가는대로 창의력을 발휘 할 수 있습니다.",블록,063-432-3400,2022-12-02
430,레고 프렌즈 놀이공원 롤러코스터 41130,1124pcs,레고,만8세부터 12세,"미니피겨4개가 들어 있고, 롤러코스터, 대관랍차, 수직낙하 놀이기구, 출입문과 매표소, 식당이 들어 있습니다. 신나게 놀이 공원 놀이를 할수 있습니다.",블록,063-432-3400,2022-12-02
431,레고 넥소나이츠 더 포트렉스 70317,1140pcs,레고,만9세부터 14세,"석궁 플라이어, 파이어스키토, 다양한 장비를 갖춘 배틀스테이선 HQ, 미니피겨 7개로 구성된 레고입니다. 넥소 나이츠의 하이테크 2-IN-1 성채 포트렉스를 가동하려 전장으로 진격하세요.",블록,063-432-3400,2022-12-02
432,레고 프랜즈 하트레이크 여름 수영장 41313,589pcs,레고,만6세부터 12세,"재미있는 미끄럼틀, 풀장 옆의 바, 온수 욕조, 소파, 샤워, 인명구조원 감시탑, 화장실, 미니 인형 피겨2개를 이용해 뜨거운 여름을 시원하게 보낼 수 있는 하이레이크 여름 수영장의 모습을 꾸며보세요.",블록,063-432-3400,2022-12-02
433,레고 빅소나이츠 클레이의 팔콘파이터 블래스터 70351,523pcs,레고,만8세부터 14세,6연발 스터드 슈터로 무장한 클레이의 2-IN-1 팔콘파이터 블레스터와 초대형 메이스를 든 조립식 그림록 몬스터 사이의 전투 장면을 멋지게 연출할 수 있습니다.,블록,063-432-3400,2022-12-02
434,"RC카, 레고시티 화산탐사기지 60122 ",324pcs,레고,만6세부터 12세,"미니피겨 3개와 화산 크롤러, ATV, 바위 받침대가 들어 있습니다. 이동을 위한 넓은 궤도와 길게 늘릴 수 있는 대형 회전식 착암기를 갖춘 화산 크롤러 입니다. ATV를 이용해 바위를 적당한 위치로 옮겨 보세요.",블록,063-432-3400,2022-12-02
435,레고 75093(스타워즈 데스스라 최종결전),724pcs,레고,만8세부터 14세,"스타워즈: 에피소드6 - 제다이의 귀환에 등장하는 루크 스카이워커, 다스베이더, 팰퍼핀 황제 사이에서 벌어지는 최종 결전 장면을 재현한 레고 입니다.",블록,063-432-3400,2022-12-02
436,레고 75094(제국의 셔틀),937pcs,레고,만9세부터 14세,"스타워즈: 에피소드6 - 제다이의 귀환에 등장하는 제국의 두번째 데스스타가 파괴되는 장면에서 펼치는 이 인상적인 레고 스타워즈 우주선은 비행모드와 착륙모드의 전환이 가능한 접이식 날개, 접이식 랜딩기어, 미니피겨2개를 태울 수 있고 여닫을 수 있는 조종석을 갖추고 있습니다.",블록,063-432-3400,2022-12-02
437,레고 베트맨 무비 스키틀러 블록 70908,775pcs,레고,만9세부터 14세,"영화 배트맨을 한장면을 재현한 레고로 그물망 슈터, 스터드 슈터 6개, 신축 가능한 팔, 제트팩으로 무장한 스커틀러에 배트맨을 태우고 조커와 포이즌 아이비에게 불잡힌 인질을 구출하세요.",블록,063-432-3400,2022-12-02
438,레고 디즈니 모아나의 바다 탐험 블록 41150,307pcs,레고,만6세부터 12세,"주인공 모아나, 힘센 장사 친구 마우니, 수탉 헤이헤이, 그리고 모양 바꾸기 기능을 이용해 위기를 빠진 섬과 조화를 되찾은 섬의 모양을 꾸며보세요.",블록,063-432-3400,2022-12-02
439,레고 21131 마인크래프트 아이스 스파이크,454pcs,레고,만8세이상,"아이스 스파이크에서 적대적인 거미와 전투를 벌이는 레고 입니다. 은신처와 눈 골렘을 조립하고 거미에게 기습 공격을 펼치세요. 도서관에 들어가 인챈트 테이블을 사용하여 곡괭이의 파워를 높이고, 얼음 블록을 채굴하여 긴사다리를 만든 다음, 아이스 스파이크 높은 곳의 침대를 조립하세요.",블록,063-432-3400,2022-12-02
440,레고 21132 마인크래프트 정글 사원,598pcs,레고,만8세이상,"정글 사원의 보물을 찾으세요. 스티브 미니피겨와 오실롯과 스켈레톤 두마리가 들어 있고, 마인크래프트 정글 사원과 함께 벽을 뒤덮은 정글, 조립식 나무, 코코아 콩 등의 소품으로 다채로운 창작품을 조립해 보세요.",블록,063-432-3400,2022-12-02
